Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2025;2º;84911098;ADEMICON ADMINISTRADORA DE CONSÓRCIOS S.A.;34,56;17;50;6;73;491794;
2025;2º;06044551;ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA; ;1;3;1;5;73070;
2025;2º;45441789;ADMINISTRADORA DE CONSORCIO NACIONAL HONDA LTDA;28,80;70;59;42;171;2429892;
2025;2º;07808907;ADMINISTRADORA DE CONSORCIOS SICREDI LTDA;29,36;14;15;7;36;476708;
2025;2º;59999300;ADMINISTRADORA DE CONSÓRCIO NACIONAL VIME LTDA.; ;0;0;1;1;1020;
2025;2º;73230674;ADMINISTRADORA DE CONSÓRCIO RCI BRASIL LTDA; ;5;18;4;27;21914;
2025;2º;91341925;ADMINISTRADORA DE CONSÓRCIO SPENGLER LTDA.; ;1;0;1;2;5087;
2025;2º;12228808;ADMINISTRADORA DE CONSÓRCIO UNICOOB LTDA; ;2;0;1;3;57517;
2025;2º;03828278;ADMINISTRADORA DE CONSÓRCIOS BECKER LTDA.; ;1;0;1;2;10205;
2025;2º;90982679;ALPHA ADMINISTRADORA DE CONSÓRCIO LTDA.;1.403,82;47;20;3;70;33480;
2025;2º;60375243;ANCORA ADMINISTRADORA DE CONSORCIOS S.A.;241,98;26;28;3;57;107443;
2025;2º;03832228;APEC - ADMINISTRADORA DE CONSORCIOS S/A; ;0;0;1;1;159;
2025;2º;13548938;ASSOCIACAO BAHIANA DE MEDICINA ABM; ;0;0;1;1;254;
2025;2º;92965748;ASSOCIACAO DOS JUIZES DO RIO GRANDE DO SUL; ;0;0;1;1;300;
2025;2º;03762583;ÁPICE ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;6375;
2025;2º;71045363;BAMAQ ADMINISTRADORA DE CONSÓRCIOS LTDA;193,09;15;24;0;39;77680;
2025;2º;02010478;BANCORBRÁS ADMINISTRADORA DE CONSÓRCIOS S.A.; ;4;9;2;15;28020;
2025;2º;92692979;BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS; ;2;5;1;8;75313;
2025;2º;06043050;BB ADMINISTRADORA DE CONSORCIOS S.A.;57,89;104;89;29;222;1796296;
2025;2º;36770683;BBC ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;0;
2025;2º;06181431;BP ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;2;1;3;11193;
2025;2º;14723388;BR CONSÓRCIOS ADMINISTRADORA DE CONSÓRCIOS LTDA; ;4;11;6;21;88044;
2025;2º;52568821;BRADESCO ADMINISTRADORA DE CONSÓRCIOS LTDA.;107,93;181;231;42;454;1676889;
2025;2º;73235962;BREITKOPF ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;2;3;6239;
2025;2º;03762395;BRENNER ADMINISTRADORA DE CONSORCIO LTDA; ;0;0;1;1;3334;
2025;2º;06046109;BRISA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3514;
2025;2º;45713971;BRQUALY ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;1;1;3;1187;
2025;2º;72461643;CAMVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;2012;
2025;2º;68318773;CANOPUS ADMINISTRADORA DE CONSORCIOS S/A; ;0;12;8;20;102076;
2025;2º;95783262;CARLESSI ADMINISTRADORA DE CONSORCIOS LTDA; ;0;1;1;2;5240;
2025;2º;00266031;CICAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;2;1;3;1557;
2025;2º;13170428;CIMAVEL ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;2334;
2025;2º;33868654;CLUBE NAVAL - CAIXA BENEFICIENTE; ;0;0;1;1;861;
2025;2º;59129403;CNF - ADMINISTRADORA DE CONSÓRCIOS NACIONAL LTDA.; ;0;1;1;2;4611;
2025;2º;05349595;CNP CONSÓRCIO S.A. ADMINISTRADORA DE CONSÓRCIOS;434,58;43;43;7;93;98945;
2025;2º;27268770;COIMEX ADMINISTRADORA DE CONSÓRCIOS S.A.;139,87;9;32;2;43;64344;
2025;2º;44474674;COMAUTO ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;1;2;8085;
2025;2º;75770164;CONBR ADMINISTRADORA DE CONSÓRCIOS S.A.; ;0;0;1;1;4570;
2025;2º;07336852;CONBRAV - ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;5340;
2025;2º;92459213;CONESUL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1; ;
2025;2º;56103171;CONSCLIC ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;2164;
2025;2º;44196293;CONSHOP ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;0;1;1;3280;
2025;2º;47658539;CONSÓRCIO NACIONAL VOLKSWAGEN - ADMINISTRADORA DE CONSÓRCIO LTDA.;429,81;38;34;6;78;88411;
2025;2º;58919903;CONVEF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;6;3;9;10494;
2025;2º;61550836;COOPERATIVA MISTA ROMA; ;3;18;0;21;14473;
2025;2º;05794450;DESTAQUE ADMINISTRADORA DE CONSORCIOS LTDA; ;1;0;2;3; ;
2025;2º;59395061;DISAL ADMINISTRADORA DE CONSÓRCIOS LTDA;234,85;34;47;9;90;144768;
2025;2º;08570707;ELDORADO ADMINISTRADORA DE CONSORCIO LTDA; ;1;0;1;2;7127;
2025;2º;58113812;EMBRACON ADMINISTRADORA DE CONSÓRCIO S/A;256,72;85;126;22;233;331089;
2025;2º;40513064;EUTBEM ADMINISTRADORA DE CONSÓRCIO S.A.; ;5;0;1;6;2174;
2025;2º;42735881;EVOY ADMINISTRADORA DE CONSORCIO LTDA.;2.701,94;29;10;1;40;10733;
2025;2º;11747606;FANCAR ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;2720;
2025;2º;91107581;FARROUPILHA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;2;3;2;7;32160;
2025;2º;33350620;FEDERACAO NAC. DE ASSOCIACOES DOS SERVIDORES DO BCO CENTRAL; ;0;0;1;1;95;
2025;2º;00600262;FERRAZ ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3785;
2025;2º;62534158;FF ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;0;1;1;0;
2025;2º;06940240;FIEL PADUA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3418;
2025;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;1;2;5006;
2025;2º;78688462;FIPAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;5812;
